Class	Average Difficulty	Additional Comments	Difficulty	Date
		Not that difficult with Pirrung.  Just memorize all the obscure structures and generally know how to apply the reactions and you're all set.  He basically gives everything in class, so show up and take notes.	6	6/21/2018
		From what I've heard, difficulty is highly professor dependent. Larsen will make this class significantly harder than it needs to be. Content wise it's undeniably easier then 8B but if you had a good 8B professor and not so good 8C professor you may struggle. 	8	6/14/2019
		Taken with Switzer. The first half is very difficult as all the reactions look the same, but the second more biochem focused half is generally easier. Memorize switzers notes and the answers to book problems, as they always show up on the test and its free points if you know them. Theres 2 curves.	7	12/17/2019
		Honestly the class concepts itself are much easier than the others in the series, but depending on your teacher, it could be a lot harder than it needs to be. I took it with Larsen this quarter, which I do not recommend. However, if you have no other choice, memorize her notes and you will do well.	6	6/17/2020
		Not too difficult,	6	8/22/2020
		Took with Switzer Fall 2020. Three midterms and third midterm was our final and not cumulative. 8C is easier than 8B and there's less reactions as most of them just tweak stuff already learned in 8A/8B. First two chapters are probably the hardest of the entire class, and after CH 18/19 the rest of the class is biochem focused and generally the material is easier to understand as nothing new is learned, just apply ochem to bio which isn't hard. Do the practice problems as usual for Switzer as some pop up on the exam word for word and going to SI really helped. Easier than 8B though and not a bad time. 	7	12/16/2020
		Took it with Switzer online during Spring 2021. The actual material is not that difficult, but his notes are extremely vague so you have to do a lot of self-studying to gain a better understanding. I highly recommend going to office hours and SI and studying a lot for the first exam, and then taking it easy from there. His grading system is based off of curved exam grades, so the average for the exam is a B, one SD above is an A, and one SD below is a C. Also do as many of his practice problems as you can, as it will give you a better idea of what he wants you to focus on for the exams. 	8	6/15/2021
		"Took it with Prof Catharine Larsen in Spring 2023. In person. 25% MT1 (100 points), 25% MT2, 50% Final exam. All MC, except for some fill-in/draw the ""product"" answers. Mechanisms were multiple choice, just select the correct arrow pushing for the named reaction. This quarter it was in between Larsen or Switzer. I chose Larsen. Great professor, can sometimes come off as passive aggressive, but she is just doing her job and gives very straightforward and to the point answers. She is not trying to overcomplicate things. Streamlines concepts. Makes it easy to learn to learn the hard concepts. Office hours were helpful to answer questions and address confusion about the lecture notes/problems. She uploads her pdfs of her notes she writes in class under the doc cam. EVERYTHING IS IN THE LECTURE NOTES. No funny business. Relieved some of my test taking anxiety because she really isn't trying to trick you. Concepts are easier to grasp then 08B and seems like we learn less/less rushed but still there was a good amount of studying to do. "	8	6/9/2023
CHEM08LC	7.00	More guesswork in the lab work.  A little more difficult than previous quarters of chem lab.  Final is the same as always.  Pirrung writes them, so memorize the manual.	7	6/21/2018
		Taken online so the labs were different. Lab TA are picky as hell during online so really put in time and effort. I hated using the Marvin sketch for drawing the mechanisms so be prepared for that. 8LC final wasn't hard you just need to memorize the answers to the post lab questions. Just the TA I had was too damn picky lol. 	6	12/16/2020
		Took it online during Spring 2021. Lab was much easier than prev ochem labs. Reports are entirely based on NMR and are extremely short, so try to finish it during the actual lab period while you have the TA there. Don't underestimate the final; it was much more difficult than previous courses. 	5	6/15/2021
